t,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
0,0.00007999999999999999,0.417,0.00000001,0.025,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
0.001666666599420098,0.000008503996408391446,0.41692677277628354,0.00007132865008080176,0.024997983478536198,0.0000002759210014967163,0.0000015636112065358169,0.000000019861924904018993,0.000000010034904993324275,0.000000010086390500693183,0.000000009873796400883706,0.00000023652415893313366,0.000000008410483614468943,0.00000000002371146863307003,0.0000000000000011623268925975589,0.000000011504490475395662
0.0033333332985428384,0.000007776917082632077,0.41692430371682604,0.00007181858681922138,0.02499584689909905,0.0000006127308227554792,0.0000030977169171881784,0.00000004903327694023952,0.000000010068427004073939,0.000000010301446339985753,0.000000009607098912890276,0.0000005231747188223091,0.0000000071117145635878364,0.000000000023875001053753733,0.0000000000000011703431889789892,0.000000012720217063978856
0.004999999997665579,0.000007746926057528948,0.4169225127727091,0.00007161180746421229,0.024993711524932793,0.00000094920192386805,0.000004612614457352046,0.00000009727176894486203,0.000000010099755440839494,0.000000010638249478148025,0.000000009206384918016709,0.0000008092937401737374,0.000000006018897626921554,0.00000000002380636773591262,0.0000000000000011669788106654589,0.000000013735332579772399
0.006666666596788319,0.000007723879663439225,0.41692071041979806,0.00007139892973055678,0.024991578425002586,0.0000012846336725682049,0.000006108543675836981,0.0000001643377011409523,0.000000010128496496854827,0.000000011077602203972865,0.000000008690381210168508,0.0000010943456612630122,0.000000005087960729768316,0.000000000023735702078517868,0.0000000000000011635148078518193,0.000000014596581226580975
0.00833333329591106,0.000007700977321282194,0.4169188900984101,0.00007118673474686223,0.02498944749675028,0.0000016190196350912153,0.0000075857414964580236,0.0000002499937124855114,0.00000001015483014145263,0.00000001159588939521242,0.000000008081663925064454,0.0000013783818213000883,0.000000004291602884534735,0.000000000023665263756281485,0.000000000000001160061948918382,0.00000001533394046550198
0.009999999918308937,0.000007736792959672622,0.4339116300594529,0.00007091677491602329,0.024987332256308503,0.0000019521420970968934,0.000009032151255923055,0.0000003530460818546141,0.00000001017960545862857,0.000000012166818926697245,0.000000007405049327286662,0.0000016612687165848224,0.0000000036119258680941915,0.00000000002377727105440949,0.01699450511746384,0.00000001596905638582856
0.01166666655737348,0.000007714473261437644,0.43390922712338764,0.000070705763112805,0.024985219085214328,0.0000022841611525963914,0.000010460602736237997,0.00000047391583895335135,0.000000010204406978803411,0.00000001276318603221375,0.00000000668600011110185,0.0000019431893607456662,0.0000000030362185383612694,0.00000000002370660829869155,0.016993942739915963,0.000000016516092954594174
0.01333333331310469,0.000007691627880472676,0.43390680116824365,0.00007049602048167628,0.02498310780239259,0.000002615135856984717,0.000011871319937177595,0.000000612377119905051,0.000000010231614397755046,0.000000013358581295538234,0.000000005949092699697191,0.000002224234184194497,0.000000002554390859834162,0.000000000023636371835642555,0.01699337494436755,0.00000001698743515430392
0.014999999952169236,0.000007668842668646325,0.43390435328675814,0.00007028693519054577,0.024980998340505,0.0000029450669477896465,0.000013264524319896533,0.0000007682054373256257,0.000000010264424009708996,0.000000013928748040205487,0.000000005216848471519273,0.0000025044368487866682,0.000000002157475239727722,0.00000000002356635604489683,0.016992801985716528,0.00000001739400855726089
