t,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
0.0016666666661349424,0.00002512461202085466,0.19994925901699498,0.0000497784919706854,0.024998967493765407,0.0000001758657357930442,0.0000007575466206881789,0.000000012304462608499002,0.000000010019191967611472,0.000000010035877836358139,0.000000009941892098030775,0.00000015132757042281925,0.000000009067593021621965,0.00000000003449918310994851,0.0000000000000016911364123821885,0.000000010893620445310396,
0.0033333333319243495,0.000022137062727250055,0.19994540712957526,0.0000525948177514226,0.02499780369704316,0.000000418947924955668,0.0000015005238216833087,0.000000019079075221933093,0.000000010038045454369536,0.000000010118096751726111,0.000000009828865798896723,0.000000358349974695978,0.000000008233667105871976,0.000000000036457883239489184,0.000000000000001787151138524459,0.00000001169430761093298,
0.004999999997713756,0.000021912935206262088,0.19994431241854838,0.00005264497023363144,0.02499663338906585,0.0000006660153089873775,0.0000022390157894348206,0.000000030296746208480333,0.000000010056339017160156,0.000000010249735860640557,0.000000009656838685822728,0.0000005686525767812297,0.000000007476108997146285,0.00000000003649318914337301,0.0000000000000017888818209066497,0.000000012425717961794907,
0.006666666663503163,0.00002185179440429938,0.19994337639181212,0.00005253241939953763,0.024995463874557644,0.0000009127530350904054,0.000002973052765201507,0.00000004593059728163724,0.000000010073876529393129,0.000000010427421272396018,0.000000009429000577607213,0.0000007785742577632304,0.000000006785185043743459,0.00000000003641536004369266,0.0000000000000017850666690092955,0.000000013098239521460507,
0.00833333332929257,0.000021800387478028888,0.19994244590233815,0.00005241059192094313,0.02499429556067069,0.0000011589069981803191,0.0000037026616954655405,0.00000006595386080687634,0.000000010090508211928045,0.000000010646408261545694,0.000000009149817424874281,0.0000009879150962890642,0.000000006154097837223041,0.00000000003633107972424104,0.0000000000000017809352808031813,0.000000013719355316830481,
0.009999999969163453,0.000021749680706946076,0.19994151203005514,0.000052288525979794,0.02499312844014897,0.0000014044622905812036,0.0000044278691975854696,0.00000009033988035007407,0.000000010106141851843646,0.000000010901033493331818,0.000000008824541848681494,0.000001196678446452034,0.00000000557780839441939,0.00000000003624663281848847,0.0000000000000017767957265992506,0.000000014294861355527106,
0.011666666625701002,0.000021699139657230855,0.19994057423251121,0.00005216674986834135,0.02499196248429209,0.0000016494180261794814,0.0000051487017684068655,0.00000011906210165660474,0.00000001012075148634555,0.000000011184914933980257,0.000000008459032957228865,0.000001404878944125341,0.000000005052484947612712,0.000000000036162386683153606,0.000000000000001772666014082312,0.000000014829400545322363,
0.01333333328223855,0.0000216487307027005,0.1999396325098871,0.00005204528999412814,0.024990797662995723,0.000001893774080129769,0.000005865185757270752,0.00000015209405976093098,0.000000010134383952972628,0.00000001149114920661906,0.00000000805958624866616,0.0000016125311191558898,0.0000000045751128583955854,0.000000000036078359684069535,0.0000000000000017685470435384512,0.000000015326828233836945,
0.014999999938776098,0.000021598449686261215,0.19993868688956226,0.00005192414293662498,0.024989633949620234,0.0000021375303448217573,0.000006577347401746127,0.00000018940936859796967,0.00000001014716344266236,0.000000011812513764476644,0.000000007632762023299802,0.000001819648647830464,0.000000004143202012850952,0.00000000003599454944708559,0.0000000000000017644386985877417,0.00000001579047756874489,
0.016666666595313646,0.000021548294189801268,0.19993773740119142,0.000051803303385089686,0.024988471318147666,0.000002380686710260114,0.000007285212826332229,0.00000023098170970702309,0.000000010159294281005686,0.000000012141667339860686,0.000000007185217252972642,0.000002026244212877661,0.00000000375456427051687,0.000000000035910952283832735,0.0000000000000017603407984277817,0.000000016223353819688288,
0.018333333251851196,0.00002149826194436731,0.19993678407510923,0.000051682765897563176,0.024987309746028384,0.0000026232430897738265,0.000007988808048261072,0.0000002767848214141091,0.000000010171062252663066,0.000000012471341961599774,0.000000006723546146907474,0.000002232329407688332,0.0000000034071444909324135,0.00000000003582756441458008,0.0000000000000017562531577776442,0.000000016628275533904282,
0.019999999991722077,0.000021448350773831902,0.19993582694208678,0.000051562525104285966,0.024986149212596818,0.0000028651994588087857,0.000008688159018025133,0.000000326792490872033,0.000000010182834836212266,0.000000012794520619080166,0.000000006254133935752092,0.000002437914669354869,0.000000003098894950635382,0.00000000003574438210948583,0.0000000000000017521755938019473,0.000000017007973931123788,
0.021666666648259624,0.000021398558636141053,0.19993486602700333,0.0000514425758399446,0.024984989699048533,0.000003106555830954145,0.000009383291485245408,0.0000003809785335350512,0.000000010195060732379546,0.000000013104595546893374,0.00000000578302768695586,0.0000026430091849418627,0.0000000028276867978303164,0.00000000003566140178152868,0.0000000000000017481079306663124,0.000000017365157891940746,
0.023333333304797175,0.000021348883638229705,0.19993390135193545,0.000051322913197602316,0.024983831188984822,0.000003347312351706414,0.000010074231213866745,0.0000004393167980977113,0.00000001020826906485445,0.000000013395503563247752,0.000000005315826541561996,0.000002847620930120109,0.000000002591253942212769,0.0000000000355786200229364,0.000000000000001744050001323081,0.000000017702550016726616,
0.024999999961334722,0.00002129932406940825,0.19993293295973216,0.00005120353262731939,0.024982673669173245,0.0000035874692674413317,0.00001076100384732729,0.0000005017811468819775,0.00000001022306857740221,0.000000013661835505574315,0.000000004857593645841675,0.000003051756636899358,0.0000000023871662200607745,0.00000000003549603366994642,0.0000000000000017400016506858522,0.000000018022897448080636,
0.02666666661787227,0.000021249878415072112,0.19993196087968085,0.00005108442998848727,0.024981517128987364,0.000003827026950769346,0.000011443634948750664,0.000000568345448656485,0.000000010240147109445415,0.000000013898918552798915,0.000000004412790311725373,0.0000032554218444617027,0.000000002212828252618229,0.000000000035413639845025584,0.0000000000000017359627376990783,0.00000001832896147711474,
0.02833333327440982,0.00002120054536551859,0.19993098511323093,0.00005096560159194939,0.024980361559438884,0.000004065985909452407,0.000012122150005927242,0.0000006389835693014894,0.000000010260271553060729,0.000000014102871009912738,0.000000003985232571050906,0.0000034586209688691096,0.0000000020655003818747788,0.000000000035331435988150965,0.0000000000000017319331368714383,0.00000001862348970278314,
0.029999999930947367,0.00002115132381857659,0.19993000572020095,0.00005084704422500675,0.024979206953765536,0.000004304346791006369,0.000012796574436156344,0.0000007136693627131081,0.000000010284288425045696,0.000000014270630283220767,0.0000000035780693441992256,0.0000036613573976078674,0.000000001942337366975073,0.000000000035249419859594876,0.0000000000000017279127384123585,0.000000018909175036389727,
0.03166666658748492,0.000021102212876028497,0.19992902269681928,0.00005072875516090888,0.02497805330674654,0.000004542110383166775,0.000013466933590951984,0.0000007923766619444764,0.000000010313125117567906,0.00000001439995567129473,0.000000003193780787689472,0.0000038636336033341585,0.00000000184043996436849,0.00000000003516758956778015,0.0000000000000017239014495974676,0.000000019188606218209158,
0.033333333327355795,0.00002105321183194411,0.1999280360972264,0.00005061073214827127,0.02497690061476666,0.000004779277622380006,0.000014133252793834256,0.0000008750792748181974,0.000000010347791831314468,0.000000014489408361241891,0.0000000028341948059605684,0.000004065451280519092,0.0000000017569141385499984,0.0000000000350859435401852,0.0000000000000017198991933423726,0.000000019464214742468868,
0.034999999983893346,0.000021004320169522104,0.19992704591232127,0.00005049297341652144,0.024975748875758083,0.000005015849539664485,0.00001479555721169984,0.0000009617509587962241,0.00000001038938413226851,0.000000014538311584770014,0.0000000025005194012366716,0.000004266811437942038,0.0000000016889326415537778,0.00000000003500448054918512,0.000000000000001715905909469382,0.000000019738222899772407,
0.036666666640430896,0.000020955537529332455,0.19992605219705567,0.000050375477612189433,0.024974598089702725,0.000005251827322161943,0.000015453872059021752,0.0000010523654376361213,0.000000010439086074367854,0.000000014546694385202298,0.0000000021933878630881345,0.00000446771459213394,0.0000000016337939763491748,0.000000000034923199644819236,0.000000000000001711921551411795,0.000000020012597480974337,
0.03833333329696844,0.000020906863699828416,0.19992505496018853,0.00005025824378533729,0.02497344825556726,0.000005487212253780458,0.0000161082224685587,0.0000011468963771229647,0.00000001049817374625408,0.000000014515222526555781,0.0000000019129142595111178,0.000004668160854517615,0.0000000015889746416668967,0.000000000034842100165057283,0.0000000000000017079460867171469,0.000000020289012406626218,
0.03999999995350599,0.00002085829859438401,0.19992405421808626,0.000050141271339712194,0.024972299373374175,0.000005722005713474931,0.000016758633528810366,0.0000012453173814072774,0.000000010568019149393987,0.000000014445120296741322,0.0000000016587560213034115,0.000004868150059294996,0.0000000015521714426856886,0.00000000003476118169209379,0.0000000000000017039794949047772,0.000000020568822971730706,
0.04166666661004354,0.00002080984222944003,0.19992305000756025,0.00005002455998542009,0.024971151443975957,0.000005956209160539452,0.00001740513028793692,0.0000013476019855369218,0.000000010650094280205839,0.000000014338086755292496,0.0000000014301808769103265,0.000005067681868330435,0.00000000152133194299138,0.00000000003468044401673872,0.0000000000000017000217657202715,0.00000002085305291316102,
0.043333333266581085,0.000020761494703330282,0.19992204234815758,0.000049908109688908344,0.024970004469196054,0.000006189824119343922,0.000018047737757547096,0.0000014537236482141369,0.000000010745975308494833,0.000000014196209777465474,0.0000000012261354521064507,0.0000052667558612062415,0.0000000014946723217657917,0.00000000003459988711070487,0.0000000000000016960728977770024,0.00000002114239442248886,
